K,Na,Cs,Li,FE
100,0,0,0,43.47108
0,100,0,0,46.9492
0,0,100,0,37.74304
0,0,0,100,9.8006
75,25,0,0,43.43904
50,50,0,0,44.84168
25,75,0,0,47.06668
75,0,0,25,44.73132
50,0,0,50,46.03428
25,0,0,75,47.75732
0,75,0,25,47.43692
0,50,0,50,47.64696
0,25,0,75,45.08732
0,75,25,0,41.53088
0,50,50,0,39.65832
0,25,75,0,38.81104
75,0,25,0,41.29592
50,0,50,0,39.25248
25,0,75,0,39.04244
0,0,75,25,38.43012
0,0,50,50,40.03924
0,0,25,75,42.60244
23,54,0,23,49.03244
13,76,0,11,49.14108
0,92,8,0,47.31748
0,32,51,17,40.18216
0,52,23,25,43.65864
0,86,8,6,47.3912
14,81,5,0,47.05752
6,85,9,0,46.40956
3,93,2,2,50.40208
9,84,0,7,50.50296
16,71,0,13,49.71532
27,62,0,11,48.15168
28,57,0,15,48.30688
21,59,1,19,48.5164
25,53,0,22,48.55132
29,51,0,20,47.88784
33,49,0,18,47.86844
37,47,0,16,47.20884
29,4,0,67,49.08676
6,26,0,68,50.37104
0,37,0,63,46.56864
8,23,0,69,50.243
19,11,0,70,49.59892
32,2,0,66,48.4582
36,0,0,64,48.16332
37,0,0,63,48.02752
35,0,0,65,47.8568
38,0,0,62,48.04304
34,1,0,65,48.53968
35,1,0,64,48.3806
34,0,0,66,48.14004
39,0,0,61,48.11288
42,1,0,57,47.88008
28,65,0,7,47.88008
0,97,0,3,47.3136
0,93,0,7,47.36792
0,99,0,1,46.91784
11,81,0,8,48.10124
0,73,4,23,48.303
0,68,0,32,48.08184
6,70,0,24,48.12452
2,82,0,16,47.5464
0,90,0,10,47.28644
1,92,0,7,47.35628
2,94,0,4,47.15064
